,isbn,variable,value
2160,9781250316776,genre_2,
2161,9781250295637,genre_2,
2162,9781984853752,genre_2,
2163,9781492671527,genre_2,
2164,9780525539889,genre_2,
2165,9780385543897,genre_2,
2166,9781250200358,genre_2,
2167,9781683319979,genre_2,
2168,9781250120922,genre_2,
2169,9781524796372,genre_2,
2170,9780374156022,genre_2,
2171,9780385541381,genre_2,
2172,9781400069996,genre_2,
2173,9781984822178,genre_2,
2174,9781635572582,genre_2,psychological fiction
2175,9780525511380,genre_2,
2176,9781501196010,genre_2,
2177,9780451491725,genre_2,
2178,9781328577856,genre_2,
2179,9780525521877,genre_2,
2180,9780399587047,genre_2,
2181,9780451492159,genre_2,
2182,9780778369356,genre_2,
2183,9780451490711,genre_2,
2184,9781524798628,genre_2,
2185,9780778369103,genre_2,
2186,9780802129031,genre_2,
2187,9781250137661,genre_2,
2188,9780062358202,genre_2,
2189,9781984802439,genre_2,
2190,9781250105684,genre_2,
2191,9781524799014,genre_2,
2192,9781626728080,genre_2,autobiographical comics
2193,9780525622109,genre_2,
2194,9780544808256,genre_2,love stories
2195,9781250301697,genre_2,thrillers (fiction)
2196,9780062740373,genre_2,
2197,9781635570298,genre_2,
2198,9781250202444,genre_2,
2199,9781101885994,genre_2,
2200,9781101990513,genre_2,
2201,9781492666868,genre_2,
2202,9780345540027,genre_2,
2203,9781250133731,genre_2,
2204,9781501190070,genre_2,
2205,9781616206772,genre_2,
2206,9781524799717,genre_2,
2207,9781501197406,genre_2,
2208,9781328473011,genre_2,
2209,9780765399298,genre_2,
2210,9780440000457,genre_2,
2211,9780743298070,genre_2,novels
2212,9780812994162,genre_2,
2213,9780399586101,genre_2,
2214,9780525509509,genre_2,
2215,9781984823014,genre_2,
2216,9780385544238,genre_2,
2217,9780374123697,genre_2,
2218,9780399593512,genre_2,
2219,9781250067869,genre_2,
2220,9780525511748,genre_2,
2221,9780316491341,genre_2,
2222,9781328987822,genre_2,
2223,9781524747800,genre_2,
2224,9781250069825,genre_2,
2225,9781250066206,genre_2,
2226,9780316449717,genre_2,
2227,9780062663849,genre_2,
2228,9781250087300,genre_2,
2229,9780802128782,genre_2,
2230,9780735224629,genre_2,
2231,9780399587689,genre_2,
2232,9780062684561,genre_2,historical fiction
2233,9781451649390,genre_2,
2234,9781476740188,genre_2,
2235,9781984828095,genre_2,
2236,9780525574682,genre_2,fiction
2237,9781501194900,genre_2,
2238,9780316176637,genre_2,spy fiction
2239,9781250193162,genre_2,historical fiction
2240,9780778330783,genre_2,psychological fiction
2241,9781501165856,genre_2,
2242,9781250182265,genre_2,
2243,9780756414764,genre_2,
2244,9780451492678,genre_2,
2245,9781250295187,genre_2,
2246,9780812997415,genre_2,
2247,9781492657965,genre_2,
2248,9780425283523,genre_2,
2249,9780451489111,genre_2,
2250,9780440000785,genre_2,
2251,9781524742959,genre_2,
2252,9781250164193,genre_2,
2253,9780451489395,genre_2,
2254,9780399178788,genre_2,
2255,9781250191984,genre_2,
2256,9781492665274,genre_2,
2257,9781250295163,genre_2,
2258,9780316547185,genre_2,psychological fiction
2259,9780399584466,genre_2,
2260,9780385542722,genre_2,
2261,9781101966310,genre_2,
2262,9780425286166,genre_2,
2263,9781681777665,genre_2,history
2264,9780399180989,genre_2,
2265,9781501170065,genre_2,
2266,9781250170750,genre_2,
2267,9780525521228,genre_2,
2268,9781501160790,genre_2,
2269,9780399178924,genre_2,
